(05/11/2018 00:09:31) Inflict::InflictAppModule::initPreRenderWindow (Line 1927) Info:   Registering AIBehavior 'DroneAIBehaviorNano'...
(05/11/2018 00:09:31) Fledge::Core::ObjectPropertySet::getPropertyPointer (Line 302) Warning: There is no property named '0xC0950320' present within this set. Owner: '0x49E9047F'
(05/11/2018 00:09:31) Inflict::InflictAppModule::initPreRenderWindow (Line 1961) Info: Setting up custom memory allocator strategies...
(05/11/2018 00:09:31) Inflict::InflictAppModule::initPreRenderWindow (Line 1964) Info:   BoneSetAllocator: 4*1024KB...
(05/11/2018 00:09:31) Inflict::InflictAppModule::initPreRenderWindow (Line 1970) Info:   SkeletalAnimationInstanceAllocator: 2*1024KB...
(05/11/2018 00:09:31) Inflict::InflictAppModule::initPreRenderWindow (Line 1973) Info:   InterpolatorAllocator: 256KB...
(05/11/2018 00:09:31) Inflict::InflictAppModule::initPreRenderWindow (Line 1976) Info:   AnimationInstanceAllocator: 8 * 256KB...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2128) Info: Initializing Fledge...
(05/11/2018 00:09:31) Fledge::Core::ThreadPool::ThreadPool (Line 52) Info:   Creating ThreadPool 'Default' with #6 worker threads...
(05/11/2018 00:09:31) Fledge::Core::ThreadPool::ThreadPool (Line 52) Info:   Creating ThreadPool 'SkeletalWorker' with #6 worker threads...
(05/11/2018 00:09:31) Fledge::Core::ThreadPool::ThreadPool (Line 52) Info:   Creating ThreadPool 'PhysicsWorker' with #6 worker threads...
(05/11/2018 00:09:31) Fledge::Core::ThreadPool::ThreadPool (Line 52) Info:   Creating ThreadPool 'LowPriority' with #6 worker threads...
(05/11/2018 00:09:31) Fledge::Core::ThreadPool::ThreadPool (Line 52) Info:   Creating ThreadPool 'AI' with #6 worker threads...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2200) Info:   Creating ErrorTracker...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2203) Info:   Creating Timer...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2206) Info:   Creating ClockManager...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2209) Info:   Creating SceneManager...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2213) Info:   Creating the ResourceManagerRegistry...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2239) Info:   Creating the SpatialTreeManager...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2242) Info:   Creating TaskManager...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2246) Info:   Creating LevelManager...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2255) Info:   Creating GameObject factory...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2257) Info:   Creating Cursor...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2260) Info:   Creating DynamicLibManager...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2263) Info:   Creating GameStateManager...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2270) Info:   Creating the InterpolatorManager...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2278) Info:   Creating the AlternatorManager...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2286) Info:   Creating the EventDispatcher...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2289) Info:   Creating the StateMachineManager...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2292) Info:   Creating the SkillManager...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2295) Info:   Creating the AIBehaviorManager...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2298) Info:   Creating the EmotePresetManager...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2301) Info:   Creating the CharacterStatsBlueprintManager...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2304) Info:   Creating the PerkManager...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2307) Info:   Creating the SkillSelectorManager...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2309) Info:   Creating the PhysicsSkeletonManager...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2311) Info:   Creating the PhysicsMaterialManager...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2313) Info:   Creating the PhysicsMeshManager...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2315) Info:   Creating the PhysicsPropertyManager...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2318) Info:   Creating the GenericDataContainerManager...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2321) Info:   Creating the QuestManager...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2324) Info:   Creating the LootTypeManager...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2327) Info:   Creating the ColorGradingLUTManager...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2330) Info:   Creating the SkeletalAnimationSelectorManager...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2333) Info:   Creating the SoundManager...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2341) Info:   Creating the Achievements Manager...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2345) Info:   Creating the CollisionEventManager...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2347) Info:   Creating the InstancedObjectManager...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2350) Info:   Creating the GameModeManager Manager...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2354) Info:   Create the LensFlare Manager...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2358) Info:   Create the GpuParticles Effect Manager...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2362) Info:   Create the GpuParticles EffectGroup Manager...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2366) Info:   Create the GpuParticles ForceField Manager...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2370) Info:   Create the GpuParticles VectorField Manager...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2374) Info:   Create the SoundParameterMapping Manager...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2396) Info:   Create the AIGroupBehaviorManager...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2406) Info:   Creating the Quest Stop Watch Task (10 ticks per second)
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2412) Info:   Creating the Quest Stop Watch Task (1 tick per second)
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2418) Info:   Creating the Quest Stop Watch Task (1 tick per 5 seconds)
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2424) Info:   Creating the Quest Stop Watch Task (1 tick per 10 seconds)
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2430) Info:   Creating the Quest Stop Watch Task (1 tick per 60 seconds)
(05/11/2018 00:09:31) Fledge::Core::SettingsManager::parseFile (Line 243) Info:   Parsing settings file '..\language.ini'...
(05/11/2018 00:09:31) Fledge::Core::SettingsManager::parseSetting (Line 176) Info:     Parsing Setting: game_language_text=spanish
(05/11/2018 00:09:31) Fledge::Core::SettingsManager::parseSetting (Line 176) Info:     Parsing Setting: game_language_voice=english
(05/11/2018 00:09:31) Fledge::Core::SettingsManager::parseFile (Line 243) Info:   Parsing settings file '..\settings.ini'...
(05/11/2018 00:09:31) Fledge::Core::SettingsManager::parseSetting (Line 176) Info:     Parsing Setting: fullscreen=true
(05/11/2018 00:09:31) Fledge::Core::SettingsManager::parseSetting (Line 176) Info:     Parsing Setting: screen_size_windowed=1280x720
(05/11/2018 00:09:31) Fledge::Core::SettingsManager::parseSetting (Line 176) Info:     Parsing Setting: gamma_correction_value=1.000
(05/11/2018 00:09:31) Fledge::Core::SettingsManager::parseSetting (Line 176) Info:     Parsing Setting: resource_package_type=PakFiles
(05/11/2018 00:09:31) Fledge::Core::SettingsManager::parseSetting (Line 176) Info:     Parsing Setting: load_from_binary_files=true
(05/11/2018 00:09:31) Fledge::Core::SettingsManager::parseSetting (Line 176) Info:     Parsing Setting: max_frame_rate=120
(05/11/2018 00:09:31) Fledge::Core::SettingsManager::parseSetting (Line 176) Info:     Parsing Setting: starting_level=starting_level
(05/11/2018 00:09:31) Fledge::Core::SettingsManager::parseSetting (Line 176) Info:     Parsing Setting: game_mode=Default
(05/11/2018 00:09:31) Fledge::Core::SettingsManager::parseSetting (Line 176) Info:     Parsing Setting: general_detail_level=Auto
(05/11/2018 00:09:31) Fledge::Core::SettingsManager::parseSetting (Line 176) Info:     Parsing Setting: master_volume=1.000
(05/11/2018 00:09:31) Fledge::Core::SettingsManager::parseSetting (Line 176) Info:     Parsing Setting: effect_volume=1.000
(05/11/2018 00:09:31) Fledge::Core::SettingsManager::parseSetting (Line 176) Info:     Parsing Setting: music_volume=1.000
(05/11/2018 00:09:31) Fledge::Core::SettingsManager::parseSetting (Line 176) Info:     Parsing Setting: logging_enabled=true
(05/11/2018 00:09:31) Fledge::Core::SettingsManager::parseSetting (Line 176) Info:     Parsing Setting: auto_lock_on_enemies=true
(05/11/2018 00:09:31) Fledge::Core::SettingsManager::parseSetting (Line 176) Info:     Parsing Setting: auto_switch_lock_on=true
(05/11/2018 00:09:31) Fledge::Core::SettingsManager::parseSetting (Line 176) Info:     Parsing Setting: hud_opacity=0.5
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2482) Info:   Parsing command line settings...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2524) Info: Creating GameObjectComponentProvider...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2527) Info:   Registering GameObjectComponentFactory 'NodeComponent'...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2529) Info:   Registering GameObjectComponentFactory 'ModelComponent'...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2532) Info:   Registering GameObjectComponentFactory 'OccluderComponent'...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2535) Info:   Registering GameObjectComponentFactory 'SkeletalAnimation'...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2537) Info:   Registering GameObjectComponentFactory 'GenericData'...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2539) Info:   Registering GameObjectComponentFactory 'Camera'...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2541) Info:   Registering GameObjectComponentFactory 'Light'...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2543) Info:   Registering GameObjectComponentFactory 'CameraController'...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2545) Info:   Registering GameObjectComponentFactory 'Trigger'...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2547) Info:   Registering GameObjectComponentFactory 'Interaction'...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2549) Info:   Registering GameObjectComponentFactory 'PositionControlledAnimation'...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2551) Info:   Registering GameObjectComponentFactory 'Perception'...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2553) Info:   Registering GameObjectComponentFactory 'TransitionData'...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2555) Info:   Registering GameObjectComponentFactory 'AI'...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2557) Info:   Registering GameObjectComponentFactory 'ActorController'...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2559) Info:   Registering GameObjectComponentFactory 'CharacterStats'...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2561) Info:   Registering GameObjectComponentFactory 'SpawnPoint'...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2563) Info:   Registering GameObjectComponentFactory 'PlayerAction'...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2565) Info:   Registering GameObjectComponentFactory 'Talk'...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2567) Info:   Registering GameObjectComponentFactory 'Sound'...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2569) Info:   Registering GameObjectComponentFactory 'Reverb'...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2571) Info:   Registering GameObjectComponentFactory 'ParticleGpuEffect'...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2573) Info:   Registering GameObjectComponentFactory 'ParticleGpuForceField'...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2575) Info:   Registering GameObjectComponentFactory 'ParticleGpuVectorField'...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2577) Info:   Registering GameObjectComponentFactory 'GUIShape'...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2579) Info:   Registering GameObjectComponentFactory 'Weapon'...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2581) Info:   Registering GameObjectComponentFactory 'Inventory'...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2583) Info:   Registering GameObjectComponentFactory 'State Machine'...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2585) Info:   Registering GameObjectComponentFactory 'Decal'...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2591) Info:   Registering GameObjectComponentFactory 'EnvironmentProbe'...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2593) Info:   Registering GameObjectComponentFactory 'WindSource'...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2595) Info:   Registering GameObjectComponentFactory 'RangedCombat'...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2597) Info:   Registering GameObjectComponentFactory 'CombatGear'...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2599) Info:   Registering GameObjectComponentFactory 'AttachToBone'...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2601) Info:   Registering GameObjectComponentFactory 'PhysicsSimulation'...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2603) Info:   Registering GameObjectComponentFactory 'LightVolumeComponent'...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2605) Info:   Registering GameObjectComponentFactory 'PhysicsForceField'...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2607) Info:   Registering GameObjectComponentFactory 'ZoneVolume'...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2611) Info:   Registering GameObjectComponentFactory 'ApexClothComponent'...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2613) Info:   Registering GameObjectComponentFactory 'ApexDestructibleComponent'...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2617) Info:   Registering GameObjectComponentFactory 'CharacterController'...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2620) Info:   Registering GameObjectComponentFactory 'RigidBody'...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2625) Info:   Registering GameObjectComponentFactory 'ParticleEffect'...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2628) Info:   Registering GameObjectComponentFactory 'Billboard'...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2631) Info:   Registering GameObjectComponentFactory 'Video'...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2634) Info:   Registering GameObjectComponentFactory 'VideoMirror'...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2645) Info:   Registering SceneSettingComponentFactory 'SceneSetting'...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2648) Info:   Registering GameObjectComponentFactory 'InstancedClusterComponent'...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2650) Info:   Registering GameObjectComponentFactory 'VisibilityZoneComponent'...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2653) Info:   Registering GameObjectComponentFactory 'LensFlareComponent'...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2655) Info:   Registering GameObjectComponentFactory 'LightProbeVolumeComponent'...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2657) Info:   Registering GameObjectComponentFactory 'InfluenceNode'...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2659) Info:   Registering GameObjectComponentFactory 'InfluenceNodeController'...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2661) Info:   Registering GameObjectComponentFactory 'CombatGearPiece'...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2665) Info: Creating PadInputDeviceHelper...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2669) Info: Creating the ItemTypeManager...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2673) Info: Creating the ItemSetManager...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2676) Info: Creating the DenyStringManager...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2680) Info: Creating the ProjectileManager...
(05/11/2018 00:09:31) Fledge::Core::Application::initPreRenderWindow (Line 2683) Info: Creating MeshImporterManager...
